hrsrelax,degree,better
NA,JUNIOR COLLEGE,0
2,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
NA,JUNIOR COLLEGE,0
1,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
4,GRADUATE,1
NA,HIGH SCHOOL,0
2,HIGH SCHOOL,0
5,HIGH SCHOOL,0
12,GRADUATE,0
3,HIGH SCHOOL,1
NA,HIGH SCHOOL,1
4,GRADUATE,0
NA,HIGH SCHOOL,0
6,LT HIGH SCHOOL,0
2,GRADUATE,0
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
2,GRADUATE,1
3,BACHELOR,0
NA,GRADUATE,0
0,GRADUATE,1
NA,GRADUATE,0
NA,GRADUATE,0
3,HIGH SCHOOL,0
NA,GRADUATE,1
NA,JUNIOR COLLEGE,0
5,JUNIOR COLLEGE,0
NA,LT HIGH SCHOOL,0
1,GRADUATE,0
5,HIGH SCHOOL,1
2,LT HIGH SCHOOL,1
6,HIGH SCHOOL,0
6,JUNIOR COLLEGE,0
1,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
3,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
3,JUNIOR COLLEGE,0
NA,BACHELOR,0
6,BACHELOR,0
3,GRADUATE,1
4,GRADUATE,0
3,HIGH SCHOOL,1
5,GRADUATE,1
5,HIGH SCHOOL,0
2,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
1,BACHELOR,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,JUNIOR COLLEGE,0
3,HIGH SCHOOL,0
NA,BACHELOR,1
4,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
3,GRADUATE,0
2,GRADUATE,0
NA,HIGH SCHOOL,0
10,HIGH SCHOOL,0
5,LT HIGH SCHOOL,0
6,HIGH SCHOOL,1
4,HIGH SCHOOL,1
0,GRADUATE,0
NA,HIGH SCHOOL,1
NA,JUNIOR COLLEGE,0
4,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,BACHELOR,0
3,GRADUATE,0
5,GRADUATE,0
5,HIGH SCHOOL,0
2,GRADUATE,0
NA,BACHELOR,0
5,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,GRADUATE,0
2,BACHELOR,0
4,HIGH SCHOOL,0
5,JUNIOR COLLEGE,0
2,GRADUATE,0
0,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
1,BACHELOR,1
NA,HIGH SCHOOL,0
2,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
2,BACHELOR,0
5,GRADUATE,1
2,BACHELOR,1
NA,HIGH SCHOOL,0
2,BACHELOR,0
2,BACHELOR,0
NA,HIGH SCHOOL,0
1,BACHELOR,1
NA,HIGH SCHOOL,0
7,HIGH SCHOOL,0
3,HIGH SCHOOL,0
NA,BACHELOR,1
5,GRADUATE,1
NA,GRADUATE,0
2,GRADUATE,0
2,BACHELOR,0
5,BACHELOR,1
5,HIGH SCHOOL,0
2,BACHELOR,0
NA,BACHELOR,1
NA,GRADUATE,0
NA,HIGH SCHOOL,1
2,BACHELOR,0
7,HIGH SCHOOL,0
1,BACHELOR,1
3,BACHELOR,0
2,HIGH SCHOOL,0
3,LT HIGH SCHOOL,1
3,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
1,BACHELOR,0
NA,HIGH SCHOOL,1
3,JUNIOR COLLEGE,0
NA,BACHELOR,0
4,BACHELOR,0
NA,LT HIGH SCHOOL,0
8,LT HIGH SCHOOL,1
NA,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,1
1,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
8,HIGH SCHOOL,0
7,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,JUNIOR COLLEGE,0
NA,LT HIGH SCHOOL,1
10,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
6,HIGH SCHOOL,1
4,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
3,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
5,LT HIGH SCHOOL,1
0,HIGH SCHOOL,0
2,HIGH SCHOOL,1
0,HIGH SCHOOL,0
3,HIGH SCHOOL,0
4,HIGH SCHOOL,1
4,GRADUATE,0
4,BACHELOR,1
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
8,BACHELOR,0
2,HIGH SCHOOL,1
1,GRADUATE,0
4,LT HIGH SCHOOL,0
4,HIGH SCHOOL,1
3,BACHELOR,0
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
8,HIGH SCHOOL,0
NA,JUNIOR COLLEGE,0
3,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
6,HIGH SCHOOL,0
8,LT HIGH SCHOOL,1
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
1,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,LT HIGH SCHOOL,0
3,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,JUNIOR COLLEGE,1
NA,JUNIOR COLLEGE,0
4,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
4,JUNIOR COLLEGE,0
4,JUNIOR COLLEGE,1
6,BACHELOR,0
0,LT HIGH SCHOOL,0
3,JUNIOR COLLEGE,0
5,HIGH SCHOOL,0
2,GRADUATE,0
NA,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,JUNIOR COLLEGE,1
NA,HIGH SCHOOL,1
NA,LT HIGH SCHOOL,1
6,JUNIOR COLLEGE,0
1,HIGH SCHOOL,0
2,GRADUATE,0
2,BACHELOR,1
NA,JUNIOR COLLEGE,0
NA,GRADUATE,0
4,BACHELOR,1
2,BACHELOR,0
4,GRADUATE,0
4,GRADUATE,1
5,HIGH SCHOOL,0
8,HIGH SCHOOL,0
4,BACHELOR,1
1,BACHELOR,1
6,JUNIOR COLLEGE,0
NA,HIGH SCHOOL,0
1,BACHELOR,0
NA,LT HIGH SCHOOL,0
8,HIGH SCHOOL,0
NA,BACHELOR,0
NA,LT HIGH SCHOOL,1
NA,JUNIOR COLLEGE,0
5,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
4,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,1
5,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,LT HIGH SCHOOL,0
7,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
2,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
4,JUNIOR COLLEGE,1
2,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
4,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
NA,BACHELOR,0
NA,HIGH SCHOOL,0
3,BACHELOR,0
8,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
3,HIGH SCHOOL,1
NA,BACHELOR,0
NA,HIGH SCHOOL,1
NA,GRADUATE,0
2,JUNIOR COLLEGE,0
NA,LT HIGH SCHOOL,1
8,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,0
0,GRADUATE,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
9,HIGH SCHOOL,1
4,LT HIGH SCHOOL,0
3,LT HIGH SCHOOL,1
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,BACHELOR,0
4,BACHELOR,1
NA,GRADUATE,1
NA,HIGH SCHOOL,0
4,BACHELOR,0
NA,GRADUATE,1
NA,BACHELOR,0
2,BACHELOR,1
NA,BACHELOR,0
4,GRADUATE,0
6,BACHELOR,0
2,GRADUATE,1
4,GRADUATE,1
NA,GRADUATE,1
2,GRADUATE,0
NA,HIGH SCHOOL,1
2,JUNIOR COLLEGE,0
2,JUNIOR COLLEGE,0
2,BACHELOR,0
NA,LT HIGH SCHOOL,1
NA,LT HIGH SCHOOL,0
1,BACHELOR,0
1,BACHELOR,1
8,HIGH SCHOOL,0
3,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
2,BACHELOR,0
3,BACHELOR,0
NA,HIGH SCHOOL,0
5,BACHELOR,1
4,GRADUATE,0
4,BACHELOR,0
NA,HIGH SCHOOL,1
6,HIGH SCHOOL,0
NA,GRADUATE,0
4,HIGH SCHOOL,1
2,BACHELOR,1
3,GRADUATE,0
5,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,GRADUATE,0
NA,HIGH SCHOOL,0
4,BACHELOR,0
NA,HIGH SCHOOL,0
3,BACHELOR,0
NA,HIGH SCHOOL,1
NA,BACHELOR,0
NA,BACHELOR,1
NA,BACHELOR,0
3,BACHELOR,0
NA,HIGH SCHOOL,0
2,BACHELOR,0
2,HIGH SCHOOL,0
4,BACHELOR,1
20,BACHELOR,0
4,GRADUATE,1
5,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,BACHELOR,1
3,HIGH SCHOOL,0
5,BACHELOR,0
2,BACHELOR,1
NA,BACHELOR,0
NA,HIGH SCHOOL,0
3,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
2,BACHELOR,1
2,GRADUATE,0
1,JUNIOR COLLEGE,1
NA,GRADUATE,0
4,JUNIOR COLLEGE,0
NA,BACHELOR,1
6,BACHELOR,1
NA,GRADUATE,1
5,JUNIOR COLLEGE,1
3,BACHELOR,1
10,HIGH SCHOOL,1
6,BACHELOR,0
3,GRADUATE,1
6,JUNIOR COLLEGE,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
4,BACHELOR,1
NA,BACHELOR,0
NA,HIGH SCHOOL,0
5,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
7,HIGH SCHOOL,0
0,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
4,HIGH SCHOOL,0
3,GRADUATE,0
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
2,GRADUATE,1
NA,HIGH SCHOOL,0
2,HIGH SCHOOL,1
NA,BACHELOR,0
3,HIGH SCHOOL,0
4,GRADUATE,0
NA,JUNIOR COLLEGE,0
1,LT HIGH SCHOOL,1
NA,HIGH SCHOOL,0
1,HIGH SCHOOL,0
5,LT HIGH SCHOOL,0
5,BACHELOR,0
0,LT HIGH SCHOOL,0
2,JUNIOR COLLEGE,0
NA,HIGH SCHOOL,1
NA,JUNIOR COLLEGE,1
1,JUNIOR COLLEGE,0
NA,LT HIGH SCHOOL,0
3,LT HIGH SCHOOL,0
4,LT HIGH SCHOOL,0
3,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,0
16,HIGH SCHOOL,0
0,JUNIOR COLLEGE,0
2,LT HIGH SCHOOL,0
1,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
3,BACHELOR,1
NA,LT HIGH SCHOOL,1
12,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
9,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
8,HIGH SCHOOL,0
4,BACHELOR,0
4,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
3,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
6,HIGH SCHOOL,0
NA,BACHELOR,0
6,HIGH SCHOOL,1
2,BACHELOR,1
0,HIGH SCHOOL,0
1,BACHELOR,0
2,LT HIGH SCHOOL,0
4,HIGH SCHOOL,0
NA,BACHELOR,0
NA,HIGH SCHOOL,0
0,LT HIGH SCHOOL,1
0,HIGH SCHOOL,1
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
3,GRADUATE,0
NA,JUNIOR COLLEGE,1
0,JUNIOR COLLEGE,1
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
6,HIGH SCHOOL,0
3,HIGH SCHOOL,0
1,HIGH SCHOOL,0
2,GRADUATE,0
6,HIGH SCHOOL,1
3,LT HIGH SCHOOL,1
5,HIGH SCHOOL,1
4,JUNIOR COLLEGE,1
6,HIGH SCHOOL,0
3,HIGH SCHOOL,1
2,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
6,LT HIGH SCHOOL,1
NA,HIGH SCHOOL,1
3,HIGH SCHOOL,0
1,HIGH SCHOOL,0
4,HIGH SCHOOL,0
1,HIGH SCHOOL,1
1,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,1
3,HIGH SCHOOL,0
2,JUNIOR COLLEGE,0
NA,BACHELOR,0
4,BACHELOR,0
2,HIGH SCHOOL,1
NA,BACHELOR,0
NA,JUNIOR COLLEGE,0
4,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
4,BACHELOR,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
2,JUNIOR COLLEGE,0
2,HIGH SCHOOL,0
1,HIGH SCHOOL,1
2,BACHELOR,0
2,HIGH SCHOOL,1
5,HIGH SCHOOL,0
4,HIGH SCHOOL,1
4,LT HIGH SCHOOL,0
4,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
6,HIGH SCHOOL,1
NA,LT HIGH SCHOOL,1
2,LT HIGH SCHOOL,1
2,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,0
3,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,0
2,LT HIGH SCHOOL,1
2,HIGH SCHOOL,0
12,LT HIGH SCHOOL,1
NA,LT HIGH SCHOOL,0
1,HIGH SCHOOL,1
NA,JUNIOR COLLEGE,0
NA,HIGH SCHOOL,0
4,HIGH SCHOOL,1
NA,GRADUATE,0
2,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
4,HIGH SCHOOL,0
7,HIGH SCHOOL,1
7,LT HIGH SCHOOL,1
NA,BACHELOR,0
6,HIGH SCHOOL,0
6,BACHELOR,0
8,HIGH SCHOOL,1
3,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
4,BACHELOR,0
1,GRADUATE,0
NA,HIGH SCHOOL,0
6,HIGH SCHOOL,0
2,BACHELOR,0
5,GRADUATE,0
NA,BACHELOR,0
NA,LT HIGH SCHOOL,1
NA,HIGH SCHOOL,0
1,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
2,BACHELOR,1
1,BACHELOR,0
5,HIGH SCHOOL,1
1,BACHELOR,0
NA,HIGH SCHOOL,1
4,HIGH SCHOOL,0
1,HIGH SCHOOL,1
NA,BACHELOR,1
4,HIGH SCHOOL,0
1,GRADUATE,0
NA,LT HIGH SCHOOL,1
6,HIGH SCHOOL,1
4,BACHELOR,0
NA,JUNIOR COLLEGE,1
2,JUNIOR COLLEGE,0
NA,HIGH SCHOOL,0
NA,BACHELOR,0
0,HIGH SCHOOL,0
0,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
NA,BACHELOR,0
2,HIGH SCHOOL,1
12,GRADUATE,0
3,HIGH SCHOOL,1
NA,HIGH SCHOOL,1
2,BACHELOR,0
NA,HIGH SCHOOL,0
5,BACHELOR,0
NA,HIGH SCHOOL,0
4,BACHELOR,0
5,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,1
2,HIGH SCHOOL,0
1,HIGH SCHOOL,1
6,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,1
2,HIGH SCHOOL,1
NA,HIGH SCHOOL,1
2,HIGH SCHOOL,0
3,BACHELOR,0
NA,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
5,HIGH SCHOOL,1
0,LT HIGH SCHOOL,1
NA,LT HIGH SCHOOL,0
2,LT HIGH SCHOOL,0
NA,BACHELOR,0
NA,HIGH SCHOOL,0
3,HIGH SCHOOL,1
0,LT HIGH SCHOOL,0
2,LT HIGH SCHOOL,0
2,HIGH SCHOOL,0
2,HIGH SCHOOL,0
6,HIGH SCHOOL,1
NA,HIGH SCHOOL,1
8,GRADUATE,0
NA,BACHELOR,1
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
2,HIGH SCHOOL,0
12,LT HIGH SCHOOL,0
0,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
1,GRADUATE,0
NA,HIGH SCHOOL,0
4,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
6,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
1,JUNIOR COLLEGE,0
3,BACHELOR,0
3,BACHELOR,0
NA,JUNIOR COLLEGE,0
NA,BACHELOR,0
NA,HIGH SCHOOL,1
10,HIGH SCHOOL,1
4,GRADUATE,0
NA,BACHELOR,0
5,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
NA,JUNIOR COLLEGE,0
NA,LT HIGH SCHOOL,0
6,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
NA,LT HIGH SCHOOL,0
7,GRADUATE,0
NA,BACHELOR,1
1,HIGH SCHOOL,1
1,BACHELOR,0
2,JUNIOR COLLEGE,1
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
6,GRADUATE,0
NA,HIGH SCHOOL,0
0,HIGH SCHOOL,1
2,GRADUATE,1
4,BACHELOR,1
5,BACHELOR,0
5,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
2,HIGH SCHOOL,0
4,HIGH SCHOOL,1
NA,GRADUATE,0
NA,JUNIOR COLLEGE,0
5,BACHELOR,0
1,HIGH SCHOOL,0
NA,GRADUATE,0
3,BACHELOR,1
NA,HIGH SCHOOL,1
6,HIGH SCHOOL,0
4,HIGH SCHOOL,1
NA,BACHELOR,0
NA,HIGH SCHOOL,1
NA,LT HIGH SCHOOL,1
3,GRADUATE,0
NA,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,0
10,GRADUATE,0
6,HIGH SCHOOL,1
NA,BACHELOR,0
2,HIGH SCHOOL,0
NA,JUNIOR COLLEGE,0
1,HIGH SCHOOL,1
NA,LT HIGH SCHOOL,1
2,HIGH SCHOOL,1
10,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
2,HIGH SCHOOL,1
6,HIGH SCHOOL,0
NA,BACHELOR,1
2,HIGH SCHOOL,0
1,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
3,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
5,LT HIGH SCHOOL,1
5,BACHELOR,1
0,GRADUATE,0
1,GRADUATE,1
NA,BACHELOR,0
3,GRADUATE,0
4,BACHELOR,0
NA,BACHELOR,0
0,HIGH SCHOOL,1
2,BACHELOR,0
1,GRADUATE,0
NA,HIGH SCHOOL,0
5,HIGH SCHOOL,0
NA,BACHELOR,0
5,HIGH SCHOOL,0
3,HIGH SCHOOL,0
5,HIGH SCHOOL,0
NA,BACHELOR,0
1,BACHELOR,0
2,BACHELOR,0
2,GRADUATE,0
NA,HIGH SCHOOL,0
3,HIGH SCHOOL,0
2,HIGH SCHOOL,1
3,JUNIOR COLLEGE,0
3,JUNIOR COLLEGE,0
2,HIGH SCHOOL,0
3,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
5,JUNIOR COLLEGE,0
NA,LT HIGH SCHOOL,0
NA,GRADUATE,0
4,BACHELOR,0
NA,GRADUATE,0
NA,JUNIOR COLLEGE,0
NA,HIGH SCHOOL,0
1,HIGH SCHOOL,1
2,JUNIOR COLLEGE,1
5,HIGH SCHOOL,1
6,GRADUATE,1
3,GRADUATE,1
6,HIGH SCHOOL,1
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
NA,BACHELOR,1
1,BACHELOR,0
2,HIGH SCHOOL,0
1,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,0
9,HIGH SCHOOL,0
1,HIGH SCHOOL,0
1,HIGH SCHOOL,0
NA,GRADUATE,0
NA,HIGH SCHOOL,0
3,HIGH SCHOOL,1
4,HIGH SCHOOL,0
10,LT HIGH SCHOOL,1
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
4,HIGH SCHOOL,1
5,HIGH SCHOOL,0
4,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
4,HIGH SCHOOL,0
3,GRADUATE,0
2,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
1,BACHELOR,0
NA,BACHELOR,0
6,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,LT HIGH SCHOOL,0
NA,BACHELOR,0
NA,HIGH SCHOOL,0
4,JUNIOR COLLEGE,0
NA,HIGH SCHOOL,1
NA,LT HIGH SCHOOL,1
3,HIGH SCHOOL,0
NA,BACHELOR,0
3,JUNIOR COLLEGE,1
5,JUNIOR COLLEGE,1
NA,HIGH SCHOOL,0
2,LT HIGH SCHOOL,1
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
2,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
3,LT HIGH SCHOOL,0
2,HIGH SCHOOL,1
3,BACHELOR,0
NA,HIGH SCHOOL,0
6,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
2,HIGH SCHOOL,0
4,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,BACHELOR,0
NA,HIGH SCHOOL,0
2,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,0
4,HIGH SCHOOL,1
NA,LT HIGH SCHOOL,1
3,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
1,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,BACHELOR,0
3,BACHELOR,0
1,BACHELOR,0
NA,LT HIGH SCHOOL,0
3,GRADUATE,0
3,BACHELOR,0
2,BACHELOR,0
1,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
3,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
2,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
6,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
5,JUNIOR COLLEGE,1
3,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
4,GRADUATE,0
5,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
3,GRADUATE,0
NA,LT HIGH SCHOOL,1
4,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
NA,LT HIGH SCHOOL,0
12,HIGH SCHOOL,1
4,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
4,LT HIGH SCHOOL,1
3,JUNIOR COLLEGE,0
NA,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
0,HIGH SCHOOL,0
6,HIGH SCHOOL,0
1,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,JUNIOR COLLEGE,1
3,LT HIGH SCHOOL,0
4,HIGH SCHOOL,0
NA,BACHELOR,1
2,JUNIOR COLLEGE,0
2,HIGH SCHOOL,0
3,HIGH SCHOOL,1
1,LT HIGH SCHOOL,1
NA,HIGH SCHOOL,1
NA,LT HIGH SCHOOL,1
6,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
NA,BACHELOR,0
NA,LT HIGH SCHOOL,0
2,LT HIGH SCHOOL,1
1,JUNIOR COLLEGE,0
0,HIGH SCHOOL,1
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
3,BACHELOR,0
NA,HIGH SCHOOL,0
1,HIGH SCHOOL,0
3,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
5,LT HIGH SCHOOL,1
NA,HIGH SCHOOL,1
2,HIGH SCHOOL,0
0,LT HIGH SCHOOL,0
12,HIGH SCHOOL,0
4,HIGH SCHOOL,1
5,BACHELOR,0
6,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,BACHELOR,0
5,HIGH SCHOOL,0
2,HIGH SCHOOL,1
2,GRADUATE,0
2,GRADUATE,1
3,HIGH SCHOOL,1
NA,LT HIGH SCHOOL,1
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
5,BACHELOR,1
NA,LT HIGH SCHOOL,0
6,BACHELOR,1
NA,LT HIGH SCHOOL,1
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
NA,LT HIGH SCHOOL,1
3,HIGH SCHOOL,0
1,HIGH SCHOOL,0
6,HIGH SCHOOL,0
2,HIGH SCHOOL,1
1,HIGH SCHOOL,0
NA,JUNIOR COLLEGE,1
NA,BACHELOR,0
2,BACHELOR,0
2,HIGH SCHOOL,0
NA,GRADUATE,0
NA,HIGH SCHOOL,0
NA,BACHELOR,1
NA,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,1
5,BACHELOR,1
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
NA,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,1
NA,BACHELOR,0
5,HIGH SCHOOL,1
NA,HIGH SCHOOL,1
4,LT HIGH SCHOOL,0
5,HIGH SCHOOL,1
NA,HIGH SCHOOL,1
0,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
3,HIGH SCHOOL,0
NA,BACHELOR,0
0,HIGH SCHOOL,0
3,HIGH SCHOOL,1
4,LT HIGH SCHOOL,0
3,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,1
0,GRADUATE,0
NA,JUNIOR COLLEGE,0
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
6,JUNIOR COLLEGE,1
5,JUNIOR COLLEGE,1
9,HIGH SCHOOL,1
NA,JUNIOR COLLEGE,0
2,LT HIGH SCHOOL,0
2,HIGH SCHOOL,0
NA,HIGH SCHOOL,1
NA,HIGH SCHOOL,0
13,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
3,HIGH SCHOOL,0
3,GRADUATE,0
NA,HIGH SCHOOL,1
3,LT HIGH SCHOOL,1
6,JUNIOR COLLEGE,0
0,JUNIOR COLLEGE,0
NA,JUNIOR COLLEGE,0
NA,LT HIGH SCHOOL,0
2,HIGH SCHOOL,0
6,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
NA,HIGH SCHOOL,1
7,HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
1,JUNIOR COLLEGE,0
4,HIGH SCHOOL,0
4,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
NA,HIGH SCHOOL,0
1,JUNIOR COLLEGE,0
4,LT HIGH SCHOOL,0
NA,LT HIGH SCHOOL,0
